name,ratings,no_of_reviews,current_price,original_price
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Black)",4.6,"1,273","1,899","₹5,999"
Kratos Legend Prime Mini Wireless Powerbank 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),4.8,588,"1,599","₹3,999"
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Green)",3.9,"31,469",999,"₹1,799"
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Dark Blue)",3.9,"1,257",789,"₹1,799"
"URBN 10000 mAh Lithium_Polymer 22.5W Super Fast Charging Ultra Compact Power Bank with Quick Charge & Power Delivery, Type C Input/Output, Made in India, Type C Cable Included (Camo)",3.8,"16,153","1,099","₹2,999"
URBN 20000 mAh Premium Nano Power Bank | 22.5W Super Fast Charging | Smallest Power Bank | Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Camo),4.1,"6,118","1,799","₹4,999"
"Ambrane 10000mAh Magsafe Fast Wireless Charging Power Bank, Strong Metal Mobile Stand, 22.5W Wired + 15W Wireless for iPhone 12 & Above, Android & Qi Enabled Devices (Aerosync PB 11, Purple)",4.0,477,"1,998","₹3,999"
"pTron Dynamo Arc 10000mAh 22.5W USB Fast Charging Nano Magnetic Power Bank, 15W Magnetic Wireless Charging, 20W PD/Type C Fast Charging, 3 Outputs/1 Input & Multiple Layers of Protection (Black)",3.8,"8,571","1,399","₹4,899"
"Stuffcool Click 10000mAh Slim Magnetic Wireless Powerbank Natural Titanium Finish Perfect for iPhone 16,15,14,13,12 with Led Display and 20W Fast Wired Charging - Charges iPhone 50% in 30 mins",3.7,27,"1,999","₹2,999"
LAPCARE Smart Tank 10000Mah Fast Charging Power Bank | Dual USB Port | Led Indicator | Light Weight | Multi Protocol Support | Multi Circuit Protection | Compact & Slim Design | Made in India,3.8,182,499,"₹1,599"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Black)",4.2,322,899,"₹2,599"
"pTron Dynamo Nergy 10000mAh 22.5W Fast Charging Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Outputs & 1 Input & Multiple Layers of Protection (Blue)",4.2,166,899,"₹2,599"
"pTron Dynamo Elite 10000mAh 22.5W Power Bank, 20W PD Fast Charging, Supports Xiamo, Redmi, Samsung, iPhone, Oneplus, Oppo, 3 Output & 2 Input Ports & Multiple Layers of Protection (Jet Black)",3.4,49,899,"₹2,899"
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Blue)",4.6,"1,273","1,899","₹5,999"
"Stuffcool Snap 5000mAh Super Compact Type C Power Bank with 20W PD PPS Output, Charges iPhone 15, Pixel 6/7 50% in 30 mins, Compatible with Samsung Type C Phones, Tablets",3.5,206,"1,099","₹2,999"
"ZEBRONICS MB10000S15 Power Bank, 10000 mAh, Rapid Charge, 22.5W Output, Dual USB Output, PD 3.0 Type C, Built in Protections, Percentage Indicator, Made in India",3.9,162,769,"₹2,099"
"pTron Dynamo Power 20000mAh 22.5W Super Fast Charging Power Bank with Quick Charge & 20W Power Delivery, Built-in Charging Cables, 4 Outputs, Type-C Input/Output Port & LED Battery Display (Black)",4.6,"1,273","1,499","₹4,599"
"boAt EnergyShroom PB300 Air 10000 mAh 22.5W Pocket Size Power Bank with Compact and Lightweight Design, LED Battery Display, 12 Layer Smart IC Protection & Smart Power Management(Carbon Black)",4.0,"2,025","1,149","₹1,999"
"Ambrane 100W Fast Charging Powerbank for MacBook, Type C Laptop & Mobile Charging, 25,000mAh Battery, Triple Output, Power Delivery & Quick Charge (Powerlit Ultra, Black)",3.8,767,"3,999","₹9,999"
"Duracell Power Bank 10000 mAh, Portable Charger, USB C/Micro USB Input, USB A/USB C Output, Fast Charge Technology, 22.5W Power Delivery for Smartphones, Tablets, Headphones and USB-Powered Devices",4.0,"1,579","1,990","₹2,499"
